disp,wt
91,1671
122,2285
173,2888
304,4042
121,2570
250,3520
97,2200
151,2885
350,5101
81,1557
68,1560
225,3804
140,2947
145,3340
225,4095
198,3277
119,2348
232,3671
302,3810
318,4775
250,3958
318,5022
168,3185
351,4939
155,2696
121,2719
108,2374
91,1721
250,3835
140,2565
151,3210
120,2543
350,4886
88,1914
302,4900
121,2729
262,3745
121,2854
232,3748
91,1666
79,1732
108,2248
78,1759
302,4899
89,1824
135,2658
151,2877
85,1847
350,5177
232,3670
200,3391
307,4992
225,3909
122,2460
107,2441
121,3004
97,2191
350,5081
232,3094
318,5097
79,1782
318,5138
146,3000
304,4501
134,2839
350,4414
429,5674
119,2663
89,1701
351,5059
250,3801
97,1862
98,2063
350,5420
122,2565
156,2848
231,3838
97,2012
146,3435
97,2212
400,5283
250,4144
351,4878
70,2039
122,2291
360,5405
107,2267
250,4280
250,4024
105,2194
97,2102
121,2730
250,3657
120,2689
89,1781
72,1339
98,2039
250,3852
86,1809
302,4175
