Student ID,Final Exam [100.0],Homework [200.0],Midterm [100.0],Quiz [45.0],Course Average [100.0]
AAMUK,82.5,197,68,39,83.34
AAZKS,67.5,155.7,72,35,73.549
ADJLG,75,172.2,56,35,73.754
AGEST,70,183.5,52,30,68.245
AGUYS,50,166.9,60,28,61.083
AISLZ,65,184.9,72,29,70.043
AJIZJ,95,199,92,41,93.63
ALRMJ,65,191,72,40,79.27
ANSGT,75,186.8,60,38,77.976
AOFJF,80,185.6,72,41,84.192
AOOBI,75,200,84,45,89.3
AORDW,72.5,199,72,40,82.08
AOYQZ,77.5,189.7,80,36,81.329
APUYA,72.5,199,52,36,74.88
AQXCJ,85,199,88,41,89.83
ARILQ,85,193,100,42,92.61
ARYTS,72.5,200,88,44,88.55
ATDQL,65,195,64,41,78.75
AUFRJ,65,178.2,84,40,80.774
AUOII,55,187.1,48,37,68.797
AURMM,55,192.7,60,35,69.989
AVTHH,67.5,173.7,80,39,79.609
AWDFQ,75,197,72,40,82.69
AWTQN,77.5,194.2,72,39,82.444
AWUZQ,87.5,194,84,40,88.63
AXXPP,65,199,72,44,83.03
AZEOT,77.5,198.7,80,42,86.759
BBTOH,80,200,88,44,90.8
BDKIQ,67.5,186.6,80,41,82.112
BDWGU,80,200,64,41,83.6
BEFOW,75,200,76,42,85.3
BEHXE,70,198,76,36,78.86
BEYTQ,40,192,68,28,61.44
BEZSX,82.5,188.1,84,36,83.517
BFRZD,50,165,52,24,56.15
BFXNI,52.5,192.1,80,41,77.997
BHYVQ,77.5,192.1,52,32,72.697
BJZZT,65,196,88,41,83.62
BLJSP,75,200,80,42,86.1
BMWUP,77.5,144.7,80,37,78.979
BNYLY,80,198,88,41,88.26
BRYNP,50,186.1,64,31,65.627
BUBXR,85,198,84,41,88.96
BVENP,92.5,191.9,72,41,88.383
BVRFK,80,193.6,60,39,80.752
BVXJM,60,50,68,26,55.9
BWQMX,70,200,72,43,83.8
BWSHA,77.5,195.5,76,38,82.535
BYVHK,95,199.7,96,45,97.679
CARRQ,85,200,84,44,91.5
CBDIH,45,192.5,72,37,70.975
CCRNI,37.5,180.4,52,27,55.878
CDQME,85,197.6,80,40,87.332
CDSKN,37.5,192.9,56,35,63.953
CERBP,80,199,92,44,91.53
CESSZ,85,200,76,44,89.9
CFGYO,57.5,186.7,56,31,66.319
CIFZQ,55,110.5,76,14,50.635
CJOGE,92.5,200,84,44,93.75
CKEBL,87.5,200,76,45,91.45
CKLVO,62.5,191.5,60,38,74.555
CLFEB,77.5,200,88,42,88.45
CLPXO,85,200,68,43,87.5
CMETK,70,98.4,76,30,67.088
CNEYX,70,195.6,88,40,84.292
CRAMQ,0,12,56,10,20.04
CSGLF,85,200,72,40,85.9
CTCBA,80,197,80,40,85.79
CTIRI,72.5,169.2,88,41,83.994
CVEUE,90,197,96,42,93.59
CVHYV,55,192.5,80,23,64.375
CVJBD,80,200,92,43,90.8
CWHEY,55,179.3,64,36,70.651
CWMMM,87.5,198,88,42,91.31
CXODA,65,200,60,40,77.5
CZJAU,72.5,197,56,40,78.74
DDNLZ,87.5,196.3,68,37,83.191
DEHRM,82.5,200,88,42,89.95
DIRXJ,55,173.5,64,37,71.045
DIUAO,62.5,179.6,48,36,69.722
DJALO,80,199,76,43,87.53
DKLZD,87.5,188.9,76,43,89.073
DLIFZ,65,178.6,68,38,76.002
DLKAK,67.5,200,84,43,85.45
DMXEB,62.5,193.3,72,35,74.681
DNDLI,77.5,200,80,45,89.25
DNKXH,80,194.7,84,39,85.629
DOEWL,67.5,196.3,72,40,80.391
DPUHM,67.5,197,68,41,80.44
DQXZG,70,199.6,80,37,80.572
DSFAZ,60,168.4,64,28,64.988
DUPQD,67.5,189.4,68,41,79.908
DVCPO,85,199,80,41,88.23
DVHVU,77.5,200,80,41,86.05
DWPSM,60,192,60,34,70.64
DXGVS,67.5,179.7,88,33,76.829
DXRAW,75,200,88,44,89.3
DZASM,77.5,198,92,43,89.91
DZTPR,77.5,199,80,39,84.38
ECGPP,60,107.5,68,28,61.525
EEQHF,87.5,200,76,45,91.45
EEVWM,82.5,197.6,80,43,88.982
EEXQO,72.5,179.7,64,32,72.729
EFTKY,50,196.3,60,34,67.941
ENCKM,62.5,193.7,84,44,84.309
ENJXL,85,192.6,88,44,91.782
EOPRT,57.5,190,44,39,70.55
EQYLR,82.5,200,76,43,88.35
ERCAE,75,154.4,72,34,74.908
ERHRE,90,200,96,45,96.2
ERSRM,87.5,196.6,80,45,92.012
EWIWL,82.5,200,80,44,89.95
EWUXA,67.5,195.4,80,37,79.528
EZOZI,82.5,197,72,39,84.14
FACHJ,60,176.7,60,33,68.769
FCMQN,85,199,80,44,90.63
FCVVP,80,200,84,45,90.8
FFABS,87.5,194,88,42,91.03
FGDGG,67.5,198,80,38,80.51
FGWDK,75,189.7,60,35,75.779
FHISC,87.5,196.6,88,41,90.412
FLPRZ,87.5,200,92,43,93.05
FLSMF,70,196,68,42,81.92
